Income,Tenure,FICO,Origination,Amount,Grade
58000,7 years,692,May-28-2019,3600,C
40000,10+ years,677,Apr-17-2019,20450,D
92000,9 years,677,May-01-2019,13000,A
200080,8 years,797,Jun-28-2019,8000,A
95000,0 years,792,Apr-18-2019,"NA",A
105066,10+ years,692,Apr-26-2019,n/a,D
68000,10+ years,702,Jun-20-2019,8000,D
65000,1 year,682,May-27-2019,6000,C
37000,1 year,732,Jun-05-2019,10000,D
31000,2 years,672,Jun-18-2019,10450,C
160046,4 years,667,Jun-17-2019,7500,C
175085,2 years,707,Jun-16-2019,20000,C
120100,10+ years,717,Jun-19-2019,10000,B
280037,3 years,667,Apr-20-2019,7000,B
72000,10+ years,797,Jun-28-2019,35000,D
96000,3 years,752,Jun-07-2019,12000,B
75000,10+ years,697,Apr-03-2019,1200,D
30000,0 years,747,Apr-24-2019,10000,B
50000,7 years,717,May-30-2019,2750,B
145093,10+ years,777,Apr-10-2019,36350,A
44000,10+ years,677,Apr-13-2019,3800,D
89200,2 years,662,Apr-15-2019,15000,C
65000,10+ years,712,Jun-01-2019,6500,A
93000,10+ years,682,May-11-2019,8500,B
45000,3 years,767,Jun-28-2019,6525,A
75000,10+ years,722,Jun-17-2019,8000,D
60000,6 years,682,Apr-30-2019,8000,B
59000,0 years,,Jun-14-2019,2400,D
50000,4 years,687,Apr-13-2019,12750,B
35000,1 year,677,Jun-02-2019,4000,C
10000,1 year,692,May-31-2019,3325,C
105018,10+ years,732,Apr-05-2019,7650,A
n/a,10+ years,797,Apr-30-2019,6000,A
62000,10+ years,702,Jun-09-2019,16000,C
83000,3 years,677,May-02-2019,n/a,C
53000,10+ years,792,May-24-2019,25250,A
55000,10+ years,722,May-05-2019,18000,D
28000,7 years,662,Apr-14-2019,21275,D
85000,10+ years,677,Apr-01-2019,20000,D
76000,9 years,687,Jun-11-2019,2200,C
68000,10+ years,792,May-07-2019,6400,A
75000,10+ years,707,Apr-20-2019,22575,D
70000,10+ years,662,Jun-07-2019,2500,A
72000,5 years,672,Apr-26-2019,21000,D
130017,8 years,682,Apr-08-2019,20000,D
51000,1 year,682,Apr-09-2019,12100,A
50000,2 years,682,Jun-18-2019,5100,D
111022,5 years,737,Jun-18-2019,12425,A
20000,5 years,727,Jun-26-2019,7200,B
75000,9 years,692,May-08-2019,16500,A
65000,2 years,742,Apr-03-2019,27000,B
34992,10+ years,682,Apr-18-2019,5000,C
64600,5 years,727,May-08-2019,10500,A
125005,0 years,712,Jun-09-2019,6000,D
94000,10+ years,767,May-04-2019,13200,B
45000,8 years,667,Jun-06-2019,24000,D
105006,10+ years,692,Jun-03-2019,12000,A
64000,3 years,717,Apr-22-2019,18000,C
30000,4 years,697,Jun-17-2019,7000,C
97000,10+ years,732,May-29-2019,20000,B
96000,4 years,687,Apr-22-2019,40000,D
125071,10+ years,777,Jun-25-2019,6000,A
98000,10+ years,727,Jun-09-2019,35000,C
67444,10+ years,n/a,Jun-13-2019,6375,D
28569,0 years,712,Jun-14-2019,1000,A
103003,5 years,747,Jun-27-2019,11475,C
75000,7 years,722,Jun-19-2019,7800,C
63000,10+ years,757,May-01-2019,10625,A
3000,0 years,707,Apr-22-2019,5300,A
52000,10+ years,697,Jun-15-2019,6000,C
47000,10+ years,667,May-13-2019,2400,D
75000,0 years,772,May-17-2019,4400,A
55000,6 years,772,May-03-2019,21600,C
105060,0 years,692,May-10-2019,3600,B
55000,1 year,732,Jun-09-2019,15000,B
31680,4 years,717,Apr-12-2019,19950,D
n/a,4 years,792,May-09-2019,20000,A
93500,7 years,722,Apr-15-2019,25125,C
146014,8 years,672,Jun-06-2019,8000,B
85000,8 years,712,May-02-2019,12800,C
92000,10+ years,697,May-19-2019,12000,D
130016,5 years,667,Apr-14-2019,12000,B
44000,10+ years,792,Jun-07-2019,4000,A
,10+ years,687,Apr-20-2019,15000,B
150038,3 years,712,May-01-2019,"NA",B
541041,6 years,757,Apr-23-2019,40000,A
180087,10+ years,707,May-08-2019,40000,B
42000,0 years,707,May-23-2019,5600,C
90000,7 years,737,Apr-30-2019,13825,B
30000,0 years,757,Jun-19-2019,10000,A
69000,10+ years,712,May-24-2019,15000,B
99000,0 years,682,Apr-28-2019,26400,B
40000,1 year,"NA",May-12-2019,5250,A
70000,3 years,717,Apr-07-2019,22000,D
62000,10+ years,727,Apr-06-2019,6000,A
65000,2 years,787,May-24-2019,40000,A
67200,10+ years,762,May-12-2019,11200,A
95000,10+ years,722,,16000,C
56000,3 years,677,Jun-23-2019,2400,A
82000,10+ years,662,May-18-2019,2000,B
38000,1 year,662,Apr-05-2019,6400,B
75000,10+ years,757,Jun-07-2019,12000,A
120017,2 years,712,Apr-29-2019,40000,B
99000,10+ years,687,Apr-10-2019,13825,D
45000,0 years,762,Apr-30-2019,5500,A
114010,2 years,692,May-01-2019,21000,C
56000,4 years,682,Jun-07-2019,12000,D
61000,2 years,782,Jun-26-2019,10000,A
"NA",4 years,702,Apr-25-2019,40000,B
25000,7 years,777,Apr-24-2019,23125,B
63500,10+ years,732,Jun-17-2019,16575,D
85000,1 year,727,May-12-2019,12000,A
60000,4 years,697,Jun-01-2019,6125,D
70000,7 years,742,Apr-23-2019,22325,C
39000,10+ years,692,May-17-2019,7200,D
82200,6 years,682,May-17-2019,10000,B
175055,10+ years,707,Apr-16-2019,20000,B
60000,3 years,752,Jun-01-2019,7500,A
55000,2 years,702,Apr-03-2019,,C
225096,0 years,802,Apr-29-2019,9600,A
48000,0 years,767,May-04-2019,18000,B
125071,6 years,682,Jun-03-2019,25000,D
100007,10+ years,702,Jun-27-2019,"NA",D
110021,5 years,n/a,May-10-2019,11150,D
48000,5 years,687,Jun-30-2019,7000,C
112041,10+ years,702,May-23-2019,20000,A
54000,5 years,682,May-18-2019,10000,A
80000,10+ years,n/a,May-24-2019,32000,A
75000,10+ years,672,May-13-2019,16000,A
84000,4 years,702,Jun-24-2019,8000,A
43200,0 years,737,Jun-25-2019,2800,A
33500,1 year,717,May-08-2019,13825,C
54000,2 years,752,Jun-10-2019,27975,C
89000,10+ years,,Jun-22-2019,30000,D
45000,0 years,712,May-13-2019,2000,B
105075,3 years,672,,30000,D
61000,10+ years,687,May-12-2019,12000,D
80000,6 years,737,May-23-2019,17500,A
54000,10+ years,767,May-14-2019,1000,B
54000,10+ years,767,Apr-17-2019,10525,A
"NA",10+ years,682,Jun-26-2019,20000,C
60000,7 years,687,May-30-2019,6000,C
45626,7 years,747,Apr-25-2019,6800,A
65000,10+ years,672,Apr-28-2019,14000,C
60000,10+ years,667,Jun-22-2019,6000,C
128062,2 years,737,Jun-30-2019,11500,A
118041,0 years,732,Jun-19-2019,35000,C
45000,10+ years,717,May-24-2019,10525,A
32032,1 year,757,Jun-08-2019,7150,C
120019,5 years,682,May-11-2019,8500,B
240032,0 years,732,Jun-09-2019,40000,B
37000,2 years,672,Apr-27-2019,9000,D
48000,10+ years,727,May-04-2019,10100,B
65000,10+ years,722,Apr-23-2019,1900,B
110060,10+ years,737,Apr-16-2019,38000,B
65000,2 years,692,Apr-01-2019,13500,B
80000,0 years,792,Apr-15-2019,4500,A
50000,2 years,672,Jun-20-2019,1800,C
100069,10+ years,692,Jun-06-2019,12750,C
105058,10+ years,752,Apr-03-2019,6000,A
100002,10+ years,717,May-09-2019,40000,B
45000,6 years,677,May-23-2019,10000,D
80000,9 years,672,Jun-11-2019,5500,A
73000,10+ years,697,Apr-09-2019,30000,C
65500,4 years,667,Jun-26-2019,3600,B
85000,8 years,712,Apr-04-2019,20000,C
58000,5 years,712,Jun-11-2019,12750,A
192299,0 years,712,Apr-18-2019,40000,A
150035,1 year,687,Jun-23-2019,37225,B
55000,2 years,667,May-22-2019,18000,D
105074,10+ years,682,Apr-17-2019,30000,D
40000,10+ years,687,May-03-2019,5000,B
81000,10+ years,682,May-12-2019,25000,D
125098,10+ years,672,May-04-2019,5000,C
90000,3 years,682,Apr-15-2019,7000,C
140096,10+ years,687,Apr-20-2019,9550,B
53000,10+ years,692,Jun-07-2019,12500,D
47000,3 years,702,May-30-2019,12000,C
40000,3 years,712,Jun-03-2019,18400,C
102028,3 years,697,May-25-2019,5850,B
69000,10+ years,677,Jun-25-2019,4000,A
80000,10+ years,782,Jun-14-2019,20000,A
110029,10+ years,677,May-01-2019,10625,D
140056,10+ years,702,May-08-2019,3000,B
70000,1 year,687,May-16-2019,n/a,C
60000,1 year,772,Apr-12-2019,6500,A
26000,3 years,687,May-20-2019,10000,C
43000,10+ years,672,Apr-26-2019,3850,D
57907,10+ years,822,May-10-2019,5000,A
130091,0 years,812,n/a,1200,A
75600,2 years,687,May-31-2019,10000,B
38043,5 years,707,Apr-20-2019,10000,B
188043,10+ years,712,Apr-26-2019,28100,A
152060,0 years,692,May-16-2019,32000,B
87000,10+ years,712,Apr-16-2019,7000,B
41000,7 years,692,Apr-26-2019,2500,B
150082,10+ years,727,Apr-01-2019,30000,B
65000,5 years,"NA",Apr-08-2019,5000,A
30000,6 years,692,Jun-26-2019,2000,B
75000,10+ years,702,Jun-30-2019,5000,D
65000,0 years,737,Jun-06-2019,,A
90000,10+ years,"NA",May-04-2019,13675,A
47352,5 years,702,Apr-25-2019,24450,D
54000,5 years,672,Apr-11-2019,2000,A
30000,7 years,697,Jun-10-2019,6600,C
,0 years,662,,19550,C
205020,10+ years,737,Apr-19-2019,32100,C
40000,7 years,762,Apr-10-2019,5000,A
45000,1 year,742,May-14-2019,18000,A
52000,8 years,712,May-25-2019,26575,B
102012,4 years,747,Jun-13-2019,16000,B
87000,10+ years,737,May-26-2019,14400,B
60000,10+ years,837,Jun-10-2019,16000,A
80000,0 years,682,Apr-16-2019,4800,D
54000,10+ years,697,May-06-2019,3000,D
110075,8 years,742,May-11-2019,35000,D
43000,3 years,722,Jun-03-2019,13000,B
102528,5 years,667,n/a,,D
58000,10+ years,727,May-19-2019,6025,B
80000,10+ years,682,May-12-2019,19200,C
55000,0 years,692,Apr-21-2019,8000,C
50000,7 years,682,Jun-15-2019,20000,C
36000,3 years,717,Apr-04-2019,4800,A
170032,0 years,702,May-26-2019,15000,A
93000,9 years,682,Jun-27-2019,8000,B
75000,10+ years,662,,16000,D
95000,2 years,722,May-05-2019,15600,D
75000,5 years,677,Apr-21-2019,18000,D
57000,0 years,757,May-14-2019,36000,B
70000,5 years,672,Apr-21-2019,20000,B
65000,6 years,697,Jun-03-2019,12000,D
47000,3 years,707,Jun-09-2019,4000,D
54000,3 years,722,May-09-2019,14400,C
65000,7 years,692,Jun-06-2019,10625,D
125009,10+ years,712,May-01-2019,15000,D
135085,5 years,702,Apr-23-2019,26600,C
230076,1 year,687,Apr-22-2019,37800,C
80000,7 years,732,Jun-08-2019,10000,A
107090,10+ years,732,Apr-25-2019,36000,B
84000,4 years,687,Jun-03-2019,25000,B
47200,7 years,677,May-15-2019,5000,D
55000,2 years,737,Jun-20-2019,7000,A
197601,10+ years,722,Apr-30-2019,26000,B
,4 years,757,Apr-18-2019,25000,B
50000,10+ years,757,May-05-2019,10000,C
65000,6 years,662,n/a,5000,C
92000,5 years,n/a,Apr-03-2019,8000,C
95000,10+ years,672,May-19-2019,n/a,D
86000,9 years,702,May-26-2019,"NA",A
96255,10+ years,"NA",May-07-2019,5000,B
229086,2 years,732,May-12-2019,11975,D
128030,1 year,667,Apr-29-2019,3000,D
150065,10+ years,682,May-20-2019,15000,B
53000,10+ years,687,May-13-2019,24450,D
45000,6 years,762,Apr-07-2019,12000,B
50000,1 year,742,May-01-2019,20000,B
60000,0 years,682,Jun-02-2019,4000,C
120087,7 years,682,Jun-28-2019,25000,C
190088,10+ years,712,May-10-2019,10000,D
73375,3 years,752,May-22-2019,8500,A
300052,2 years,737,May-30-2019,15000,A
60000,7 years,772,May-25-2019,10000,A
82000,2 years,672,Apr-04-2019,8400,B
35000,4 years,672,Apr-25-2019,21600,D
60000,10+ years,727,,25000,A
30000,3 years,727,Apr-08-2019,2400,C
80000,3 years,692,Jun-01-2019,5100,B
185013,10+ years,782,May-08-2019,5000,B
114037,10+ years,687,May-05-2019,40000,A
72000,0 years,782,May-12-2019,9600,A
70000,0 years,687,Apr-26-2019,5200,C
96856,3 years,662,Apr-25-2019,21275,D
48000,3 years,707,Jun-06-2019,21000,B
50000,0 years,672,Jun-28-2019,7000,C
45000,10+ years,682,Apr-01-2019,15000,B
60000,10+ years,682,n/a,13600,D
50000,8 years,712,May-10-2019,12000,D
103036,8 years,702,Jun-17-2019,20000,A
175074,10+ years,707,May-16-2019,22750,D
,10+ years,727,Apr-30-2019,8000,A
60000,7 years,737,Jun-13-2019,12750,C
480045,4 years,712,Apr-26-2019,28000,B
48000,7 years,667,n/a,18075,D
10000,0 years,732,May-14-2019,40000,D
128059,2 years,777,Jun-13-2019,22000,B
,5 years,722,Jun-05-2019,8000,D
70000,5 years,697,May-31-2019,11200,D
34000,10+ years,807,May-10-2019,1800,A
187051,3 years,682,Jun-29-2019,25525,C
42000,6 years,747,Jun-21-2019,1375,A
107032,7 years,702,Apr-20-2019,4800,B
136096,10+ years,682,Apr-02-2019,18400,B
88000,10+ years,662,Apr-10-2019,10500,B
48250,2 years,792,May-02-2019,13150,A
125095,2 years,692,Apr-10-2019,10000,D
96000,10+ years,797,Apr-26-2019,10000,A
81000,10+ years,757,Jun-08-2019,30000,B
72000,5 years,722,Apr-25-2019,30000,A
45407,2 years,717,Apr-27-2019,14525,D
110014,10+ years,687,May-05-2019,40000,D
75000,10+ years,707,May-09-2019,2500,D
30000,2 years,682,Jun-28-2019,2500,B
30000,1 year,712,May-13-2019,12000,A
110084,10+ years,677,Jun-13-2019,1000,D
50000,2 years,722,Jun-02-2019,14400,B
83000,9 years,742,May-05-2019,4800,A
115073,10+ years,672,"NA",7425,D
60000,1 year,687,Apr-03-2019,14400,D
86000,1 year,697,Apr-24-2019,8000,C
60000,10+ years,707,May-10-2019,15950,C
74000,10+ years,712,Jun-24-2019,10000,A
36000,2 years,752,Apr-01-2019,25700,C
28000,7 years,722,Jun-26-2019,26575,D
"NA",10+ years,687,May-17-2019,16000,C
162033,10+ years,712,"NA",10000,B
40000,10+ years,687,Jun-12-2019,20000,D
72000,2 years,702,Apr-27-2019,n/a,B
61000,10+ years,712,Apr-27-2019,13200,B
76000,6 years,687,May-19-2019,30000,B
90000,5 years,707,Jun-22-2019,16800,C
175024,7 years,707,Jun-17-2019,12000,B
148049,5 years,717,May-01-2019,35000,C
90000,0 years,692,Jun-13-2019,25000,B
36000,10+ years,677,May-22-2019,6500,D
150043,10+ years,677,Jun-17-2019,35000,D
73000,6 years,727,Apr-24-2019,24000,C
35000,2 years,672,May-10-2019,8000,C
50000,3 years,667,Apr-13-2019,15000,C
92000,10+ years,787,Jun-16-2019,15000,A
63000,9 years,687,Apr-12-2019,11000,D
120036,1 year,"NA",May-22-2019,15950,B
30000,6 years,697,Apr-02-2019,5000,B
60000,10+ years,697,Apr-21-2019,7000,B
340065,9 years,792,May-01-2019,40000,A
n/a,10+ years,712,May-06-2019,12000,D
145004,7 years,662,Jun-27-2019,6000,C
70000,5 years,792,Jun-08-2019,10000,A
45000,1 year,687,Apr-22-2019,5300,B
120086,10+ years,722,May-04-2019,1000,A
65000,10+ years,772,May-29-2019,1600,A
120051,5 years,722,Apr-29-2019,2000,B
90000,5 years,702,Jun-03-2019,5000,C
87550,10+ years,687,Apr-18-2019,10000,B
117072,0 years,747,May-29-2019,40000,C
135054,10+ years,712,Apr-24-2019,16000,C
165026,1 year,682,May-19-2019,10000,B
110037,10+ years,707,Jun-04-2019,9000,B
399915,9 years,702,May-14-2019,22000,A
95000,10+ years,797,Jun-20-2019,19450,A
15000,2 years,822,Jun-08-2019,15775,A
110085,10+ years,707,May-13-2019,12750,A
90000,5 years,732,Apr-08-2019,2700,D
230083,4 years,717,May-25-2019,25250,A
54000,3 years,707,Jun-08-2019,3600,B
40000,0 years,672,Jun-05-2019,10000,B
65000,8 years,707,May-15-2019,4000,C
140097,10+ years,702,Jun-10-2019,13000,C
45000,3 years,722,Jun-03-2019,5200,A
73986,10+ years,707,May-15-2019,10000,D
77862,10+ years,677,Jun-14-2019,10000,B
65000,0 years,737,Jun-27-2019,6000,B
51000,10+ years,722,May-16-2019,6000,B
80000,6 years,727,Jun-21-2019,8000,A
109023,9 years,787,May-21-2019,10525,B
170075,10+ years,812,May-04-2019,13825,A
73000,10+ years,732,Apr-11-2019,1500,D
78000,4 years,662,Jun-05-2019,10000,C
59000,10+ years,727,Jun-07-2019,2000,A
105055,6 years,782,Jun-12-2019,37875,A
60000,10+ years,692,Jun-27-2019,15000,D
118004,10+ years,662,May-01-2019,27700,C
99000,8 years,697,Jun-05-2019,3200,B
63000,4 years,817,Apr-08-2019,10600,A
80000,5 years,767,Jun-06-2019,3000,A
96000,2 years,677,Jun-23-2019,17000,C
"NA",6 years,762,May-09-2019,10000,A
60000,2 years,717,Apr-11-2019,25000,C
88000,10+ years,722,Jun-17-2019,26000,A
80000,1 year,667,Apr-24-2019,10000,D
100094,1 year,697,May-24-2019,20000,D
45800,5 years,682,May-17-2019,5000,D
36000,2 years,682,May-16-2019,2500,D
121051,10+ years,682,Jun-17-2019,10000,D
35000,2 years,687,Jun-17-2019,25000,C
125037,10+ years,747,May-24-2019,6000,A
78000,0 years,677,Apr-06-2019,4000,D
54000,1 year,707,Apr-19-2019,20000,D
82898,4 years,672,May-08-2019,2000,D
75000,10+ years,707,Jun-23-2019,3000,D
115100,10+ years,742,Jun-24-2019,8000,A
85000,10+ years,687,May-24-2019,2000,D
62000,10+ years,672,May-26-2019,20000,B
52000,10+ years,672,Jun-10-2019,15000,B
48500,1 year,667,Jun-04-2019,3500,C
138578,9 years,667,May-17-2019,30000,D
47000,0 years,697,May-12-2019,7000,C
100094,9 years,702,May-02-2019,20000,D
85000,10+ years,702,Apr-14-2019,25000,D
150099,3 years,692,Apr-19-2019,30000,B
115721,10+ years,702,May-02-2019,22200,D
67500,10+ years,662,Apr-09-2019,5000,C
190059,10+ years,712,May-11-2019,32000,A
109012,10+ years,677,Jun-03-2019,22400,C
32000,8 years,707,Apr-24-2019,8400,A
98000,10+ years,687,May-17-2019,35000,C
80000,1 year,692,Apr-14-2019,10000,A
83000,10+ years,722,Jun-14-2019,5000,A
90000,10+ years,742,Apr-20-2019,35000,C
96000,1 year,762,Jun-13-2019,12625,B
25000,2 years,697,Apr-18-2019,8500,C
86000,10+ years,687,Jun-20-2019,4400,D
42000,10+ years,697,Jun-05-2019,1200,A
70000,0 years,677,Apr-07-2019,21275,C
80000,1 year,732,Apr-01-2019,8500,B
77000,10+ years,667,Apr-16-2019,4000,B
235027,10+ years,687,Jun-18-2019,n/a,A
120001,4 years,697,Jun-28-2019,10000,B
70000,2 years,692,Apr-14-2019,15000,C
50000,0 years,722,Jun-11-2019,3000,A
52000,6 years,767,Jun-19-2019,3800,B
52000,7 years,767,May-02-2019,3000,A
75000,8 years,692,Apr-22-2019,8000,C
145035,6 years,"NA",May-12-2019,30000,B
95000,10+ years,707,Apr-17-2019,n/a,B
120019,1 year,697,Apr-24-2019,5400,B
68000,10+ years,787,Jun-01-2019,18000,A
75000,5 years,702,Jun-02-2019,12425,C
131001,5 years,722,Apr-29-2019,40000,B
91000,1 year,712,May-28-2019,20000,D
47000,3 years,737,May-29-2019,4000,B
46000,2 years,707,May-15-2019,1600,A
35000,0 years,717,May-30-2019,1000,C
69000,0 years,732,Apr-14-2019,4800,A
80000,10+ years,687,Jun-16-2019,7500,A
134067,10+ years,672,Jun-08-2019,22000,A
115085,10+ years,767,May-05-2019,10525,A
82000,10+ years,777,May-14-2019,9000,A
149009,6 years,712,May-01-2019,40000,A
50000,5 years,687,Jun-01-2019,1600,A
n/a,10+ years,692,Jun-28-2019,8000,D
150082,0 years,702,Apr-09-2019,14000,C
75000,10+ years,702,May-28-2019,8000,C
72967,10+ years,732,Jun-21-2019,33825,C
110076,10+ years,722,Jun-02-2019,5850,A
46000,4 years,752,Jun-17-2019,8400,A
42000,5 years,687,Apr-30-2019,11000,A
48000,1 year,667,Apr-30-2019,5000,D
126865,3 years,782,May-29-2019,5600,A
40000,1 year,672,Apr-29-2019,6000,C
60000,10+ years,742,Jun-10-2019,4500,A
130040,3 years,782,,1000,A
68000,3 years,697,Jun-11-2019,20000,B
48000,4 years,662,Apr-27-2019,3500,A
80000,3 years,762,Apr-10-2019,10525,A
56634,5 years,722,Jun-17-2019,7000,A
70000,2 years,792,Jun-29-2019,7000,A
,0 years,702,Jun-03-2019,17850,C
105703,3 years,692,Jun-17-2019,20000,C
41000,10+ years,712,Jun-08-2019,8400,D
48000,10+ years,692,May-13-2019,18525,D
81000,10+ years,732,Jun-15-2019,10000,C
94000,10+ years,737,Apr-15-2019,40000,A
45000,0 years,737,Apr-20-2019,12500,A
150026,10+ years,697,May-12-2019,35000,D
75000,1 year,682,Jun-06-2019,19800,A
125086,10+ years,722,Apr-28-2019,15000,B
45000,5 years,662,May-14-2019,6500,D
60000,10+ years,677,Apr-23-2019,5500,C
130078,7 years,712,Apr-21-2019,40000,A
45000,10+ years,662,Apr-06-2019,2500,D
250029,2 years,727,Jun-22-2019,35000,B
55000,4 years,712,May-24-2019,7200,C
75500,10+ years,752,Apr-27-2019,13000,A
47776,7 years,687,Apr-02-2019,11000,D
60000,10+ years,752,Apr-06-2019,5000,B
56000,10+ years,717,May-10-2019,2100,B
129658,0 years,697,Jun-06-2019,40000,A
112982,2 years,727,Jun-26-2019,34000,B
140073,4 years,712,May-03-2019,1200,B
,10+ years,697,Apr-19-2019,10000,B
n/a,3 years,677,Jun-21-2019,6000,D
65000,6 years,732,May-26-2019,14875,B
92500,10+ years,712,Apr-15-2019,30000,D
28000,3 years,682,Jun-17-2019,4800,B
84000,4 years,737,Apr-28-2019,9150,A
103032,10+ years,662,May-22-2019,15000,B
102069,2 years,702,May-20-2019,11000,A
72000,10+ years,662,Apr-20-2019,n/a,D
100059,1 year,717,Jun-03-2019,10625,B
90000,0 years,662,Apr-22-2019,12000,C
145085,2 years,672,Apr-06-2019,21000,B
74000,7 years,777,Jun-11-2019,3000,A
62000,10+ years,772,May-16-2019,11575,B
78000,10+ years,747,Apr-27-2019,5950,B
600098,10+ years,692,May-02-2019,15000,B
74000,8 years,722,Apr-10-2019,2400,A
94000,10+ years,827,Jun-11-2019,19500,A
152096,10+ years,707,May-26-2019,6500,B
44400,4 years,692,Apr-03-2019,3000,C
40000,2 years,702,,1600,B
75000,10+ years,697,May-04-2019,1200,C
40000,10+ years,692,May-17-2019,6375,B
81931,3 years,702,Apr-21-2019,7500,D
50000,0 years,687,Jun-02-2019,10000,D
90000,10+ years,682,May-27-2019,15000,D
110048,0 years,672,Jun-11-2019,,D
95000,4 years,797,Apr-14-2019,25000,A
140046,10+ years,692,May-29-2019,15000,C
165046,0 years,677,Apr-26-2019,38000,A
65000,6 years,662,Jun-30-2019,7000,C
44450,10+ years,692,Apr-30-2019,16000,C
202084,3 years,667,May-24-2019,20000,D
50000,0 years,772,May-24-2019,1000,C
24000,2 years,767,Apr-25-2019,5400,B
77000,1 year,662,Apr-18-2019,10000,C
150059,2 years,697,Jun-26-2019,40000,A
65000,9 years,692,May-29-2019,17000,C
83398,9 years,692,May-19-2019,26575,D
48000,10+ years,722,Apr-29-2019,1000,B
33800,4 years,677,Apr-02-2019,17000,D
50000,3 years,727,May-22-2019,7500,C
105013,3 years,677,"NA",12225,C
65000,10+ years,742,,20000,C
102045,10+ years,777,Jun-23-2019,15000,A
55846,8 years,672,Apr-24-2019,10000,A
40000,5 years,682,Jun-28-2019,3000,B
37000,10+ years,707,Jun-22-2019,33000,D
69000,10+ years,682,Apr-13-2019,5300,B
130016,10+ years,702,Jun-13-2019,,B
55000,5 years,787,May-23-2019,12750,C
140041,5 years,752,Jun-21-2019,4800,A
69000,0 years,707,Jun-02-2019,2300,B
95780,1 year,732,May-20-2019,29475,B
130047,3 years,672,Apr-05-2019,25000,D
,5 years,692,Jun-21-2019,40000,C
85000,2 years,707,May-19-2019,10000,C
124054,10+ years,777,Jun-27-2019,30000,A
100090,5 years,662,Apr-26-2019,7500,D
90000,10+ years,702,May-10-2019,30000,C
139661,3 years,717,Jun-08-2019,7000,A
125016,3 years,797,Jun-07-2019,n/a,B
30000,3 years,787,"NA",7000,A
90000,10+ years,667,May-01-2019,20000,B
50000,4 years,692,Apr-12-2019,16000,C
36000,2 years,792,Apr-16-2019,1500,A
53708,1 year,802,May-05-2019,27000,B
105013,0 years,777,Apr-24-2019,10000,B
55000,6 years,682,Jun-09-2019,13000,A
60000,0 years,782,Apr-13-2019,30000,B
30000,5 years,737,Apr-24-2019,3475,C
125085,8 years,707,Apr-23-2019,20900,D
71000,10+ years,692,Apr-03-2019,4200,B
49000,4 years,687,May-21-2019,10000,D
100014,10+ years,777,May-10-2019,5000,A
68000,6 years,702,May-10-2019,6375,C
125038,10+ years,662,Jun-02-2019,28000,B
90000,10+ years,667,Jun-22-2019,9000,C
90000,0 years,697,Apr-19-2019,1200,C
115052,10+ years,717,Apr-26-2019,36000,B
130100,10+ years,692,Apr-08-2019,20000,B
141026,0 years,757,Jun-29-2019,10000,A
350052,10+ years,697,Jun-17-2019,35000,C
150037,4 years,732,Jun-04-2019,12625,A
55000,10+ years,802,Apr-28-2019,23650,B
187012,9 years,752,Apr-13-2019,25250,A
48000,3 years,667,Jun-04-2019,"NA",C
95000,10+ years,662,Jun-18-2019,11000,C
130074,4 years,662,May-25-2019,n/a,C
38000,6 years,752,Jun-20-2019,12000,A
65000,10+ years,757,Jun-12-2019,20000,A
163060,7 years,672,Apr-27-2019,10000,D
130799,4 years,752,Jun-08-2019,32475,B
72000,10+ years,662,May-13-2019,10400,D
54000,10+ years,727,May-30-2019,6375,B
n/a,10+ years,682,Apr-26-2019,6900,D
25000,5 years,672,Apr-26-2019,1200,D
130051,8 years,717,Apr-17-2019,20000,D
20000,0 years,762,Apr-14-2019,n/a,A
75000,10+ years,667,May-08-2019,22000,B
130071,1 year,662,Apr-18-2019,30000,D
79000,10+ years,697,May-28-2019,20000,D
240050,10+ years,777,Apr-22-2019,12425,A
100015,10+ years,822,Jun-13-2019,10725,A
170387,10+ years,697,Jun-11-2019,35000,D
30000,3 years,702,May-01-2019,5000,B
40000,0 years,787,,8825,A
110086,0 years,677,Apr-14-2019,19600,C
53000,0 years,687,Jun-19-2019,,D
60000,0 years,692,Apr-27-2019,3200,B
30000,4 years,677,Apr-28-2019,n/a,A
115095,10+ years,702,May-26-2019,12000,D
150078,9 years,727,May-20-2019,35000,C
52000,10+ years,672,Apr-02-2019,12000,D
125035,0 years,697,Apr-20-2019,22000,B
60000,3 years,712,Apr-25-2019,5000,B
220294,7 years,697,Jun-20-2019,8000,A
55000,9 years,757,Jun-20-2019,10000,A
70000,10+ years,712,Jun-09-2019,15000,C
70000,3 years,732,May-06-2019,15000,B
75000,5 years,677,Apr-03-2019,32000,C
40000,5 years,702,May-28-2019,25000,D
36000,10+ years,672,May-31-2019,3000,D
50000,2 years,707,Jun-01-2019,9000,B
85000,10+ years,667,May-01-2019,10625,B
58596,4 years,702,Jun-12-2019,13000,B
150040,0 years,717,Jun-18-2019,35000,B
54740,0 years,722,May-03-2019,10000,A
110018,4 years,702,Apr-30-2019,12000,B
94600,4 years,687,May-04-2019,20000,A
99000,4 years,,May-28-2019,24000,B
35000,2 years,697,May-12-2019,13550,C
32618,10+ years,707,Apr-20-2019,n/a,D
51000,1 year,667,Apr-24-2019,30000,D
120063,2 years,687,Jun-25-2019,12000,D
45000,7 years,777,May-11-2019,29250,A
0,10+ years,742,Apr-21-2019,32425,A
120032,4 years,767,May-11-2019,20000,B
68000,7 years,737,May-25-2019,6000,A
105003,3 years,677,Jun-17-2019,7200,D
