Income,Tenure,FICO,Origination,Amount,Grade
70000,5 years,692,May-16-2019,9500,C
120083,1 year,737,May-05-2019,16000,B
,7 years,717,Apr-11-2019,12025,A
30000,0 years,747,May-08-2019,20000,B
51500,2 years,752,May-11-2019,12000,A
79000,6 years,722,Jun-27-2019,8000,A
100002,5 years,697,May-07-2019,"NA",C
68415,10+ years,692,,2000,B
65000,3 years,712,May-31-2019,6375,C
98000,10+ years,662,Jun-11-2019,"NA",C
64000,6 years,682,May-30-2019,15000,B
90000,7 years,707,May-15-2019,18600,C
80000,10+ years,667,May-21-2019,32000,C
116086,5 years,742,Jun-04-2019,35000,B
50000,3 years,717,Apr-14-2019,12000,A
56000,10+ years,687,May-17-2019,10000,C
90000,10+ years,672,Jun-09-2019,6000,B
85000,5 years,672,May-22-2019,10000,D
105099,0 years,737,Jun-27-2019,26000,B
55000,10+ years,692,Apr-25-2019,16000,D
90000,5 years,682,Jun-20-2019,8000,B
43600,5 years,687,Apr-11-2019,15000,D
87000,10+ years,752,Apr-03-2019,10525,A
130071,10+ years,752,May-01-2019,15025,C
127031,9 years,687,Apr-09-2019,10000,C
105041,10+ years,722,Apr-24-2019,8600,B
297607,2 years,762,Jun-29-2019,8000,A
75000,2 years,682,Apr-18-2019,10800,A
40000,4 years,737,Apr-30-2019,27650,C
50040,4 years,702,Apr-06-2019,10450,D
100001,0 years,697,Jun-08-2019,6200,C
175078,2 years,677,Jun-26-2019,5300,D
130053,5 years,"NA",Apr-21-2019,23000,C
175048,10+ years,697,Jun-06-2019,10000,C
95000,7 years,697,Apr-17-2019,20000,D
90000,10+ years,737,Apr-04-2019,40000,A
77000,10+ years,667,Jun-10-2019,21275,C
93000,6 years,742,May-03-2019,11000,A
96500,5 years,727,Jun-02-2019,14000,B
73000,0 years,,Apr-28-2019,25000,D
40000,10+ years,742,Apr-23-2019,16000,B
34000,10+ years,732,Apr-03-2019,6375,A
102055,10+ years,732,May-04-2019,2000,A
125050,5 years,772,Jun-13-2019,15775,B
60000,3 years,722,Jun-16-2019,2500,B
70517,10+ years,777,Jun-15-2019,n/a,A
50000,6 years,767,Apr-27-2019,4500,A
50000,0 years,682,Jun-04-2019,1000,B
76000,0 years,692,Apr-29-2019,5300,B
104705,10+ years,807,May-21-2019,1500,A
101048,0 years,732,Jun-16-2019,15000,B
56000,5 years,682,Jun-07-2019,2000,C
110092,10+ years,687,Apr-28-2019,7000,B
71000,3 years,732,Jun-30-2019,10000,B
70000,10+ years,742,May-22-2019,19875,A
140095,6 years,677,Jun-09-2019,30000,D
125048,0 years,687,Jun-12-2019,5150,A
57000,9 years,682,Jun-06-2019,6900,B
76000,0 years,677,Jun-10-2019,17000,D
60000,9 years,702,May-14-2019,10000,B
96000,0 years,672,May-22-2019,14000,B
140056,9 years,712,Apr-27-2019,11000,D
45000,2 years,757,Apr-02-2019,10000,A
82000,9 years,777,May-02-2019,6000,A
100007,1 year,717,Jun-27-2019,4800,A
49920,3 years,687,Apr-26-2019,10000,B
97500,1 year,712,Apr-25-2019,12000,A
38000,2 years,662,May-11-2019,10000,D
63000,4 years,752,May-30-2019,35000,D
160016,10+ years,677,Jun-27-2019,10000,C
60000,7 years,747,Apr-11-2019,"NA",A
55500,2 years,662,May-12-2019,12000,C
65000,10+ years,762,May-21-2019,25250,B
25000,10+ years,707,Jun-28-2019,7925,C
52000,4 years,727,Apr-21-2019,3500,A
26000,10+ years,,Jun-10-2019,2200,C
170062,1 year,712,May-30-2019,4575,D
95000,2 years,722,Apr-27-2019,10000,B
120007,10+ years,777,Apr-19-2019,n/a,B
85000,2 years,732,Apr-26-2019,,C
135095,10+ years,702,May-12-2019,40000,B
100021,10+ years,787,May-26-2019,15000,A
70000,10+ years,702,May-17-2019,10000,B
70000,10+ years,727,Apr-26-2019,40000,B
152034,10+ years,752,Apr-10-2019,14875,B
80000,2 years,727,Jun-13-2019,2500,A
129882,10+ years,752,Jun-30-2019,20000,B
500079,3 years,737,May-29-2019,2850,A
58670,2 years,702,Apr-19-2019,21000,C
46000,10+ years,772,Apr-30-2019,3500,B
70000,10+ years,757,Jun-24-2019,13000,A
40000,5 years,737,Jun-08-2019,1600,D
40000,9 years,782,Apr-15-2019,10525,B
64777,10+ years,722,Jun-10-2019,10000,D
100002,3 years,762,Jun-01-2019,33075,B
62000,10+ years,717,May-05-2019,5300,B
52000,1 year,682,Apr-18-2019,7000,B
50000,0 years,717,Apr-15-2019,10000,C
